手机名称,型号,DPI,前摄左边距,前摄上边距,实际测量宽度,实际测量高度
Redmi k30 5G,Redmi%20K30%205G,440,6.9,0.4,6.8,15.5
荣耀 Magic 2,TNY-AL00,480,4.2,-0.8,7.5,14.8
华为P30 Pro,VOG-AL00,480,3.5,0.1,7,15
华为mate30 Pro,LIO-AN00m,480,4.5,0.1,7,15
华为mate40 Pro,NOH-AL00,480,2.1,0.4,7.5,15.7
小米11 Ultra,M2102K1C,560,0.8,0.4,7,15.7
华为nova7 Pro,JER-AN20,480,,,7.8,15.7
华为p20,EML-AL00,480,3.7,0.2,6.45,13.32
华为P40Pro,ELS-AN00,530,2,0.75,6.85,15.2
荣耀 30 Pro,EBG-AN10,,1.7,0.4,7,15.1
Vivo iqoo7,V2049A,,3.6,0.5,7.58,16.22
Vivo S7t,V2080A,,3,0.6,7.42,16.75
iQOO Neo5,V2055A,,3.6,0.5,7.63,16.33
HUAWEI Mate 20,HMA-AL00,,3.6,0.2,7.23,15.78
NONOR 50,NTH-AN00,,3.5,0.5,7.38,16
荣耀畅玩20,KOZ-AL00,,3.4,0.5,7.5,16.3
小米9,MI%209,,3.4,0,6.8,14.7
OPPO Reno5,PEGM00,,0.6,0.4,6.7,14.9
小米10ultra,M2007J1SC,,0.8,0.4,7,15.5
Redmi K40,M2012K11AC,,3.4,0.3,7,15.4
华为nova 6 SE,JNY-AL10,,0.5,0.4,6.9,14.8
荣耀8x,JSN-AL00a,,4,0.2,6.9,14.8
华为 nova5Pro,SEA-AL10,,3.4,0.1,6.9,14.8
OPPO Reno3,PDCM00,,3.2,0.4,6.9,15.5
vivo X60,V2046A,,3.3,0.2,6.9,15.5
华为Mate 20 Pro,LYA-AL00,,2.8,0,6.8,14.8
vivo iqoo z1,V1986A,,6.25,0.4,6.8,16.15
Vivo x21,vivo%20x21,,4.08,0.18,6.85,14.37
Oppo A9,PCAM10,,3.5,0.15,6.95,15.08
红米 note9 Pro,M2007J17C,,3.5,0.15,7,14.8
小米 Note3,Mi%20Note3,,2.4,0.83,6.7,12
